學類代碼,學類名稱,畢業年度,到職年,碩士,學士,專科
2301,綜合設計學類,99,103,"44,854","28,801",
2302,視覺傳達設計學類,99,103,"38,047","29,121","26,981"
2303,產品設計學類,99,103,"43,666","29,640","19,167"
2304,空間設計學類,99,103,"32,845","28,711","24,294"
2399,其他設計學類,99,103,"45,019","28,672",
3101,經濟學類,99,103,"50,190","39,562",
3102,政治學類,99,103,"46,843","39,605",
3103,社會學類,99,103,"65,024","35,802",
3104,民族學類,99,103,"35,083","31,267",
3105,心理學類,99,103,"53,410","35,705",
3106,地理學類,99,103,"61,741","43,179",
3107,區域研究學類,99,103,"56,169","35,462",
3108,公共行政學類,99,103,"53,098","34,898",
3109,國際事務學類,99,103,"55,304","32,991",
3110,綜合社會及行為科學學類,99,103,"59,356","36,354",
3201,一般大眾傳播學類,99,103,"44,264","31,263",
3202,新聞學類,99,103,"45,884","36,626",
3203,廣播電視學類,99,103,"41,632","32,626",
3204,公共關係學類,99,103,"43,593","33,263",
3205,博物館學類,99,103,"50,976",,
3206,圖書資訊檔案學類,99,103,"47,532","31,870",
3207,圖文傳播學類,99,103,"42,904","34,434",
3208,廣告學類,99,103,"63,387","36,196",
3299,其他傳播及資訊學類,99,103,,,
3401,一般商業學類,99,103,"55,698","29,906",
3402,會計學類,99,103,"51,767","35,913","27,437"
3403,企業管理學類,99,103,"52,793","32,632","27,331"
3404,貿易學類,99,103,"50,975","33,255","27,380"
3405,財務金融學類,99,103,"57,129","35,652","26,317"
3406,風險管理學類,99,103,"55,212","35,610",
3407,財政學類,99,103,"55,208","34,319","27,372"
3408,行銷與流通學類,99,103,"47,283","30,316","29,241"
3409,醫管學類,99,103,"50,612","30,046",
3499,其他商業及管理學類,99,103,"64,511","33,779","23,196"
3801,一般法律學類,99,103,"79,574","39,475",
3802,專業法律學類,99,103,"67,615","31,419",
3899,其他法律學類,99,103,"73,905","44,817",
4201,生物學類,99,103,"46,489","34,384",
4202,生態學類,99,103,"48,796","29,465",
4203,生物科技學類,99,103,"43,392","30,728",
4204,微生物學類,99,103,"50,753","37,739",
4205,生物化學學類,99,103,"50,112","33,900",
4206,生物訊息學類,99,103,"50,453","31,263",
4299,其他生命科學類,99,103,"73,717","40,825",
4401,化學學類,99,103,"63,253","38,295",
4402,地球科學學類,99,103,"45,207","36,935",
4403,物理學類,99,103,"70,060","38,149",
4404,大氣科學學類,99,103,"52,862","35,750",
4405,海洋科學學類,99,103,"47,404","31,484",
4406,天文及太空科學學類,99,103,"64,661",,
4499,其他自然科學學類,99,103,"63,234","35,755",
4601,數學學類,99,103,"56,240","37,087",
4602,統計學類,99,103,"58,045","35,089",
4699,其他數學及統計學類,99,103,"59,550","39,426",
4801,電算機一般學類,99,103,"55,204","31,957","29,448"
4802,網路學類,99,103,"82,835","31,659",
4803,軟體發展學類,99,103,"78,610","30,836","24,902"
4804,系統設計學類,99,103,"81,070",,
4805,電算機應用學類,99,103,"58,354","31,267","26,330"
4899,其他電算績學類,99,103,,,
5201,電資工程學類,99,103,"68,887","35,771","28,137"
5202,機械工程學類,99,103,"60,403","37,129","30,302"
5203,土木工程學類,99,103,"46,943","34,227","27,036"
5204,化學工程學類,99,103,"61,357","39,091","29,658"
5205,材料工程學類,99,103,"67,793","37,878",
5206,工業工程學類,99,103,"59,148","34,554","29,878"
5207,紡織工程學類,99,103,"50,152","32,608",
5208,測量工程學類,99,103,"54,634","50,256",
5209,環境工程學類,99,103,"50,567","31,849","28,171"
5210,河海工程學類,99,103,"47,264","36,911",
5211,生醫工程學類,99,103,"62,322","36,263",
5212,核子工程學類,99,103,"81,191","59,257",
5213,綜合工程學類,99,103,"63,800","38,341",
5299,其他工程學類,99,103,"58,973","35,687",
5801,建築學類,99,103,"41,826","32,214","30,381"
5802,景觀設計學類,99,103,"38,443","29,953",
5803,都巿規劃學類,99,103,"42,231","33,859",
5899,其他建築及都巿規劃學類,99,103,"51,082","40,964",
6201,一般農業學類,99,103,"43,260","32,840",
6202,畜牧學類,99,103,"44,302","30,457",
6203,園藝學類,99,103,"41,686","32,603","25,166"
6204,植物保護學類,99,103,"40,627","31,821",
6205,農業經濟及推廣學類,99,103,"46,257","37,688",
6206,食品科學類,99,103,"41,605","29,405","25,960"
6207,水土保持學類,99,103,"43,537","32,705",
6208,農業化學類,99,103,"46,313","34,922",
6209,農業技術學類,99,103,"46,437","36,171",
6210,林業學類,99,103,"43,508","32,653",
6211,漁業學類,99,103,"39,802","30,412",
6299,其他農林漁牧學類,99,103,,,
6401,獸醫學類,99,103,"42,909","36,983",
7201,醫學學類,99,103,"85,393","107,377",
7202,公共衛生學類,99,103,"72,323","32,447","31,155"
7203,藥學學類,99,103,"59,719","49,728",
7204,復健醫學學類,99,103,"51,697","40,854","27,687"
7205,營養學類,99,103,"39,437","30,551","26,989"
7206,護理學類,99,103,"69,833","52,463","41,062"
7207,醫學技術及檢驗學類,99,103,"55,016","38,523","25,793"
7208,牙醫學類,99,103,"86,745","63,691","26,273"
7299,其他醫藥衛生學類,99,103,"78,565","46,207",
7601,身心障礙服務學類,99,103,"64,927",,
7602,老年服務學類,99,103,"47,360","34,902","22,351"
7603,社會工作學類,99,103,"49,602","35,184",
7604,兒童保育學類,99,103,"45,101","27,392","25,559"
7699,其他社會服務學類,99,103,,,
8101,餐旅服務學類,99,103,"42,206","30,856","28,048"
8102,觀光休閒學類,99,103,"47,999","30,917","25,764"
8103,競技運動學類,99,103,"63,023","45,835",
8104,運動科技學類,99,103,"64,568","29,211",
8105,運動休閒及休閒管理學類,99,103,"50,699","30,836","28,921"
8106,生活應用科學學類,99,103,"46,295","29,766","25,143"
8107,服飾學類,99,103,"46,975","31,709","31,680"
8108,美容學類,99,103,"36,773","30,625","26,516"
8199,其他民生學類,99,103,"49,789","33,910",
8401,運輸管理學類,99,103,"50,381","36,520",
8402,航空學類,99,103,"49,295","32,886",
8403,航海學類,99,103,"49,889","61,114","43,281"
8501,環境資源學類,99,103,"53,775","29,708",
8502,環境防災學類,99,103,"49,284","30,532",
8599,其他環境保護學類,99,103,"40,883",,
8601,警政學類,99,103,,"30,224",
9901,其他不能歸類之各學類,99,103,"77,322","45,150",
1401,綜合教育學類,100,103,"66,694","39,105",
1402,普通科目教育學類,100,103,"64,152","37,278",
1403,專業科目教育學類,100,103,"57,882","36,175",
1404,學前教育學類,100,103,"50,771","31,494",
1405,成人教育學類,100,103,"67,144","28,416",
1406,特殊教育學類,100,103,"71,112","45,705",
1407,教育行政學類,100,103,"69,915","33,950",
1408,教育科技學類,100,103,"52,934","29,565",
1409,教育測驗評量學類,100,103,"59,172",,
1499,其他教育學類,100,103,"57,022","31,201",
2101,美術學類,100,103,"42,788","29,187",
2102,雕塑藝術學類,100,103,,"28,519",
2103,美術工藝學類,100,103,,"24,593","25,403"
2104,音樂學類,100,103,"50,582","33,165",
2105,戲劇舞蹈學類,100,103,"50,516","32,518","35,533"
2106,視覺藝術學類,100,103,"44,743","28,300","23,476"
2107,綜合藝術學類,100,103,"53,843","30,796",
2108,民俗藝術學類,100,103,,"32,927",
2109,應用藝術學類,100,103,"48,340","30,802",
2110,藝術行政學類,100,103,"46,674","29,165",
2201,台灣語文學類,100,103,"51,411","30,220",
2202,中國語文學類,100,103,"55,646","32,146",
2203,外國語文學類,100,103,"45,886","31,111","25,044"
2204,其他語文學類,100,103,"44,807","35,910",
2205,翻譯學類,100,103,"42,475","29,786",
2207,語言學類,100,103,"56,850","33,669",
2208,宗教學類,100,103,"49,640","27,946",
2209,歷史學類,100,103,"48,323","32,744",
2210,人類學學類,100,103,"47,893","35,421",
2211,哲學學類,100,103,"55,445","35,148",
2212,文獻學學類,100,103,"42,599",,
2299,其他人文學類,100,103,"45,052","28,950",
2301,綜合設計學類,100,103,"42,368","27,967",
2302,視覺傳達設計學類,100,103,"35,942","27,021","23,286"
2303,產品設計學類,100,103,"39,943","27,968","24,693"
2304,空間設計學類,100,103,"32,386","26,237","21,749"
2399,其他設計學類,100,103,"53,553","24,429",
3101,經濟學類,100,103,"47,891","35,605",
3102,政治學類,100,103,"48,173","36,402",
3103,社會學類,100,103,"67,037","32,953",
3104,民族學類,100,103,"35,223","34,259",
3105,心理學類,100,103,"51,172","32,392",
3106,地理學類,100,103,"49,492","38,897",
3107,區域研究學類,100,103,"50,333","33,051",
3108,公共行政學類,100,103,"47,778","32,551",
3109,國際事務學類,100,103,"43,522","30,236",
3110,綜合社會及行為科學學類,100,103,"50,769","34,870",
3201,一般大眾傳播學類,100,103,"39,888","29,400",
3202,新聞學類,100,103,"48,637","33,212",
3203,廣播電視學類,100,103,"37,989","31,819",
3204,公共關係學類,100,103,"38,626","33,211",
3205,博物館學類,100,103,"45,017",,
3206,圖書資訊檔案學類,100,103,"44,304","32,241",
3207,圖文傳播學類,100,103,"38,543","34,778",
3208,廣告學類,100,103,"39,791","30,202",
3299,其他傳播及資訊學類,100,103,,"47,995",
3401,一般商業學類,100,103,"51,550","27,875",
3402,會計學類,100,103,"45,863","33,294","23,827"
3403,企業管理學類,100,103,"48,024","30,451","28,641"
3404,貿易學類,100,103,"46,158","30,649","27,452"
3405,財務金融學類,100,103,"47,774","32,461","25,377"
3406,風險管理學類,100,103,"49,272","33,424",
3407,財政學類,100,103,"44,760","32,274","28,401"
3408,行銷與流通學類,100,103,"44,997","28,555","27,706"
3409,醫管學類,100,103,"52,982","29,212",
3499,其他商業及管理學類,100,103,"60,184","30,676","29,713"
3801,一般法律學類,100,103,"74,074","34,554",
3802,專業法律學類,100,103,"61,495","29,722",
3899,其他法律學類,100,103,"32,233","38,685",
4201,生物學類,100,103,"41,235","32,106",
4202,生態學類,100,103,"44,085","26,924",
4203,生物科技學類,100,103,"39,621","28,972",
4204,微生物學類,100,103,"43,136","32,897",
4205,生物化學學類,100,103,"45,058","27,249",
4206,生物訊息學類,100,103,"44,556","30,360",
4299,其他生命科學類,100,103,"39,748","26,278",
4401,化學學類,100,103,"56,995","34,438",
4402,地球科學學類,100,103,"43,830","33,686",
4403,物理學類,100,103,"60,185","36,818",
4404,大氣科學學類,100,103,"46,277","31,131",
4405,海洋科學學類,100,103,"43,700","33,300",
4406,天文及太空科學學類,100,103,"48,313",,
4499,其他自然科學學類,100,103,"57,721","31,359",
4601,數學學類,100,103,"50,944","33,268",
4602,統計學類,100,103,"51,856","32,077",
4699,其他數學及統計學類,100,103,"44,773","35,586",
